Request,Min,Max,Avg,Median,Count
Initial_Product_Load,2.1499999857041985,48.12612498062663,32.73060713108862,34.35170801822096,100
Get_Products_By_Category,0.6837910041213036,348.351749998983,103.77405808969151,105.19191701314412,1442
Get_All_Products,0.6455419934354722,383.10587499290705,126.36614403409986,127.05270800506696,1801
Health_Check,0.906750006834045,261.1079580092337,5.395001558090089,3.668374993139878,485
Update_Product_Stock,6.824792013503611,243.80429199663922,134.68819633797887,136.41516599454917,195
Edge_Case_Purchase_Coffee Mug,1.3535839971154928,294.8669999896083,176.05547545033252,176.03866700665094,22
Sequence_Browse_Category,0.9084170160349458,206.10137499170378,98.3915976133798,98.88929198496044,114
Admin_Get_All_Products,1.2563329946715385,299.6207090036478,126.52358519126403,135.54937500157394,47
Edge_Case_Purchase_NonExistentProduct,2.047167014097795,303.5121249849908,203.4822400007397,211.30970801459625,25
Edge_Case_Purchase_Zero Stock Product,4.4517089845612645,297.60083300061524,207.4115894836184,228.65662499680184,27
Get_Product_Details,55.83608301822096,232.37350000999868,85.39645297742577,86.38670801883563,413
Shopper_Product_Details,55.3662910242565,178.6195000167936,83.82237358141694,82.64558299561031,232
Admin_Get_Product_Details,55.84883299889043,148.3593330194708,82.34648486812968,82.67179102404043,91
Buy_Product,111.04262500884943,381.18258299073204,210.97194696947076,204.57429200178012,99
Shopper_Buy_Product,108.05158302537166,521.2877920130268,213.690568092239,212.2221250028815,290
Inventory_Check_Details,54.91025000810623,197.36550000379793,84.03613920103949,84.31020798161626,220
Sequence_Buy_Product,110.01329199643806,394.8418340005446,212.63744995975196,220.6157920008991,104
Sequence_View_Details,56.368499994277954,228.1829999992624,85.39009929826044,83.67658301722258,104
Edge_Case_Purchase_Laptop Pro,123.54899998172186,304.9910409899894,203.83439166277336,197.12024999898858,15
